,Trial_IDs,Transition,P1_IN_Ephys_TS,P1_OUT_Ephys_TS,P2_IN_Ephys_TS,P2_OUT_Ephys_TS,Latency,RewardEphysTS
0,1,21,38.53093333333333,38.79693333333333,39.937533333333334,40.32073333333333,1.406600000000001,NaN
1,1,16,39.937533333333334,40.32073333333333,40.95573333333333,42.20173333333333,1.0182000000000002,NaN
2,1,37,45.281,45.7584,46.2778,47.8775,0.9968000000000004,46.2778
3,2,21,53.121233333333336,53.40773333333333,53.830133333333336,54.04493333333333,0.7088999999999999,NaN
4,2,16,53.830133333333336,54.04493333333333,54.48983333333334,62.474800000000016,0.6597000000000008,NaN
5,2,37,64.4109,64.88250000000001,65.4073,67.2796,0.9964000000000012,65.4073
6,3,21,72.0589,72.18979999999999,72.7253,72.8929,0.6664000000000029,NaN
7,3,16,72.7253,72.8929,73.43709999999999,75.15899999999999,0.7117999999999967,NaN
8,3,21,125.80806666666665,126.06926666666665,126.83856666666665,126.94866666666665,1.030499999999989,NaN
9,3,11,126.97206666666665,127.02756666666666,127.33106666666666,127.49626666666666,0.3590000000000089,NaN
10,3,16,127.33106666666666,127.49626666666666,127.99756666666666,128.38756666666666,0.666499999999985,NaN
11,3,63,127.99756666666666,128.38756666666666,129.32406666666665,129.32416666666666,1.32650000000001,NaN
12,3,37,129.35976666666664,129.57166666666666,130.01626666666664,131.66156666666666,0.6564999999999941,130.01626666666664
13,4,32,137.20370000000003,137.5981,138.0474,138.3951,0.8436999999999983,NaN
14,4,27,138.0474,138.3951,139.1194,139.5087,1.0720000000000027,NaN
15,4,72,139.1194,139.5087,140.1196,140.39440000000002,1.0002000000000066,NaN
16,4,22,140.1196,140.39440000000002,140.47070000000002,140.48160000000001,0.3511000000000024,NaN
17,4,21,140.47070000000002,140.48160000000001,141.41213333333332,141.63493333333332,0.9411999999999808,NaN
18,4,16,141.41213333333332,141.63493333333332,142.21443333333332,142.32133333333334,0.8023000000000025,NaN
19,4,63,142.21443333333332,142.32133333333334,142.85403333333332,143.07803333333334,0.6396000000000015,NaN
20,4,37,142.85403333333332,143.07803333333334,143.38383333333334,144.73973333333333,0.5298000000000229,143.38383333333334
21,5,21,146.31256666666667,146.38006666666666,147.44356666666667,147.48086666666666,1.1310000000000002,NaN
22,5,16,147.55126666666666,147.58946666666668,148.1012333333333,148.18793333333332,0.5498000000000047,NaN
23,5,63,148.1012333333333,148.18793333333332,148.71263333333332,148.71273333333332,0.6114000000000033,NaN
24,5,37,148.7134333333333,148.8166333333333,149.1319333333333,150.56063333333333,0.41849999999999454,149.1319333333333
25,6,21,153.31403333333333,153.43403333333336,153.80123333333333,154.04043333333337,0.4872000000000014,NaN
26,6,16,153.80123333333333,154.04043333333337,154.47353333333336,154.55043333333333,0.6723000000000071,NaN
27,6,62,154.47353333333336,154.55043333333333,154.89666666666665,154.90556666666663,0.4230000000000018,NaN
28,6,33,155.06296666666665,155.35416666666666,155.4425666666666,155.53546666666665,0.3795999999999822,NaN
29,6,33,155.4425666666666,155.53546666666665,155.73256666666666,155.73556666666664,0.2900000000000205,NaN
30,7,32,161.92883333333333,162.1492333333333,162.52743333333333,162.72023333333334,0.5986000000000047,NaN
31,7,22,162.52743333333333,162.72023333333334,163.29683333333335,163.59793333333337,0.7694000000000187,NaN
32,7,21,163.29683333333335,163.59793333333337,164.27673333333334,164.40313333333333,0.9798999999999864,NaN
33,7,16,164.27673333333334,164.40313333333333,164.91673333333338,164.98363333333336,0.6398000000000081,NaN
34,7,63,164.91673333333338,164.98363333333336,165.50873333333334,165.78463333333335,0.5919999999999845,NaN
35,7,37,165.50873333333334,165.78463333333335,166.07643333333334,167.96863333333334,0.5677000000000021,166.07643333333334
36,8,21,169.9676,169.9984,170.3505,170.4828,0.3829000000000065,NaN
37,8,13,170.3505,170.4828,171.6483,171.7903,1.2977999999999952,NaN
38,8,37,171.6483,171.7903,172.1394,172.2658,0.4910999999999888,NaN
39,8,76,172.1394,172.2658,173.09973333333332,173.23523333333333,0.9601000000000112,NaN
40,8,63,173.09973333333332,173.23523333333333,173.74003333333332,174.12543333333332,0.6402999999999963,NaN
41,8,37,173.74003333333332,174.12543333333332,174.43903333333333,176.16183333333336,0.6990000000000123,174.43903333333333
42,9,32,178.60246666666663,178.70066666666662,180.10466666666667,180.23366666666664,1.5022000000000162,NaN
43,9,21,180.10466666666667,180.23366666666664,180.53826666666663,180.78946666666667,0.4335999999999842,NaN
44,9,16,180.53826666666663,180.78946666666667,181.22726666666662,181.26616666666663,0.6889999999999928,NaN
45,9,63,181.22726666666662,181.26616666666663,181.85340000000002,181.85350000000003,0.6260000000000048,NaN
46,9,37,181.85360000000003,181.99720000000002,182.36590000000007,184.27999999999997,0.5123000000000104,182.36590000000007
47,10,21,191.80616666666666,191.98026666666667,193.28236666666666,193.44656666666666,1.4762000000000055,NaN
48,10,16,193.28236666666666,193.44656666666666,194.07143333333335,194.14683333333335,0.7888999999999841,NaN
49,10,62,194.07143333333335,194.14683333333335,194.51423333333335,194.52073333333334,0.4428000000000054,NaN
50,10,33,194.62993333333333,194.77353333333335,194.84223333333333,195.00513333333333,0.21229999999999905,NaN
51,10,37,194.84223333333333,195.00513333333333,195.37553333333335,196.81423333333333,0.533299999999997,195.37553333333335
52,11,21,199.15383333333332,199.2578333333333,199.7751333333333,199.9230333333333,0.6212999999999909,NaN
53,11,12,199.7751333333333,199.9230333333333,200.8363333333333,200.87223333333333,1.0612000000000137,NaN
54,11,22,200.8363333333333,200.87223333333333,201.08313333333334,201.19600000000003,0.24679999999997904,NaN
55,11,26,201.08313333333334,201.19600000000003,201.61350000000002,201.6297,0.5302000000000078,NaN
56,11,62,201.61350000000002,201.6297,202.0174,202.0235,0.40389999999999293,NaN
57,11,23,202.0174,202.0235,202.23860000000002,202.23870000000002,0.22120000000001028,NaN
58,11,37,202.239,202.3913,202.7724,204.9678,0.5334000000000003,202.7724
59,12,32,206.38313333333332,206.4659333333333,207.64693333333332,207.68833333333333,1.2638000000000034,NaN
60,12,21,207.64693333333332,207.68833333333333,208.16953333333333,208.26243333333332,0.5225999999999829,NaN
61,12,16,208.16953333333333,208.26243333333332,209.13833333333332,209.17943333333332,0.968800000000016,NaN
62,12,63,209.13833333333332,209.17943333333332,209.76466666666667,209.76476666666667,0.626199999999983,NaN
63,12,37,209.76506666666666,209.88606666666666,210.40416666666667,211.94016666666667,0.6390999999999849,210.40416666666667
64,13,21,214.02723333333333,214.08973333333333,214.60793333333334,214.75663333333333,0.5807000000000073,NaN
65,13,16,214.60793333333334,214.75663333333333,215.34323333333333,215.36273333333332,0.7352999999999952,NaN
66,13,63,215.34323333333333,215.36273333333332,215.9463,215.9464,0.6029000000000053,NaN
67,13,37,215.94650000000001,216.323,216.6656,218.9138,0.7190999999999974,216.6656
68,14,21,220.97256666666667,221.05136666666667,221.55736666666667,221.58436666666668,0.5848000000000013,NaN
69,14,12,221.59906666666666,221.74706666666668,222.55106666666669,222.55646666666667,0.9519999999999982,NaN
70,14,23,222.55976666666666,222.56656666666666,222.88456666666667,223.26646666666667,0.324799999999982,NaN
71,14,37,222.88456666666667,223.26646666666667,223.61576666666667,223.76426666666669,0.7312000000000012,NaN
72,14,73,223.61576666666667,223.76426666666669,225.22526666666667,225.37003333333334,1.6094999999999968,NaN
73,14,33,225.22526666666667,225.37003333333334,225.65943333333334,225.66353333333336,0.4338000000000193,NaN
74,14,63,228.25213333333335,228.38643333333334,228.81483333333335,228.81493333333336,0.5627000000000066,NaN
75,14,33,228.81503333333336,228.94833333333335,229.11923333333334,229.20063333333334,0.3042000000000087,NaN
76,15,21,233.61663333333334,233.71323333333336,234.11163333333334,234.23813333333337,0.4950000000000046,NaN
77,15,63,236.56373333333335,236.63453333333334,237.12573333333333,237.12583333333333,0.5620000000000118,NaN
78,15,33,237.12623333333335,237.30503333333334,237.51323333333332,237.60863333333333,0.3870000000000005,NaN
79,15,37,237.51323333333332,237.60863333333333,237.92943333333332,240.07503333333332,0.41620000000000346,237.92943333333332
80,16,12,243.41893333333334,243.72663333333333,245.23483333333334,245.25533333333334,1.8158999999999992,NaN
81,16,23,245.23483333333334,245.25533333333334,245.55053333333333,245.90793333333335,0.31570000000002096,NaN
82,16,37,245.55053333333333,245.90793333333335,246.3367333333333,246.47103333333334,0.7861999999999796,NaN
83,16,37,248.56203333333335,248.64703333333333,249.21203333333335,249.34103333333334,0.6500000000000057,NaN
84,16,76,249.21203333333335,249.34103333333334,250.64509999999999,250.7035,1.4327000000000112,NaN
85,16,16,252.79240000000001,252.9158,253.4563,253.4701,0.663899999999984,NaN
86,16,63,253.4563,253.4701,253.89139999999998,253.89149999999998,0.4351000000000056,NaN
87,16,33,253.89159999999998,254.1386,254.28269999999998,254.29639999999998,0.3910999999999945,NaN
88,17,11,258.0768,258.3907,258.4557,258.74709999999993,0.37889999999998736,NaN
89,17,16,258.4557,258.74709999999993,259.2078,259.24649999999997,0.7521000000000129,NaN
90,17,66,259.2078,259.24649999999997,259.5089,259.58119999999997,0.30109999999999104,NaN
91,17,63,259.5089,259.58119999999997,260.2453,260.2489,0.7364000000000033,NaN
92,17,37,260.3301,260.5259,261.013,261.0886,0.6828999999999894,NaN
93,17,71,261.013,261.0886,262.6916666666667,262.78746666666666,1.6782000000000041,NaN
94,17,16,262.6916666666667,262.78746666666666,263.33336666666673,263.3620666666667,0.6417000000000144,NaN
95,17,61,263.33336666666673,263.3620666666667,264.2573666666667,264.4057666666667,0.9240000000000066,NaN
96,17,11,264.2573666666667,264.4057666666667,264.6921666666667,264.9851666666667,0.4347999999999956,NaN
97,17,32,267.09136666666666,267.19206666666673,268.9673666666667,268.9674666666667,1.8760000000000048,NaN
98,17,21,268.9679666666667,268.9784666666667,269.8228666666667,269.9514666666667,0.8548999999999864,NaN
99,17,16,269.8228666666667,269.9514666666667,270.4119666666667,270.46189999999996,0.5890999999999735,NaN
100,17,63,270.4119666666667,270.46189999999996,270.9466,270.94669999999996,0.5345000000000368,NaN
101,17,33,270.9468,271.06289999999996,271.1627,271.3148,0.21589999999997644,NaN
102,17,37,271.1627,271.3148,271.6209,273.5863,0.4582000000000335,271.6209
103,18,32,276.56573333333336,276.60973333333334,276.9295333333333,277.0783333333333,0.3637999999999693,NaN
104,18,21,276.9295333333333,277.0783333333333,277.76383333333337,277.8163333333333,0.8343000000000416,NaN
105,18,16,277.8392333333333,278.03683333333333,278.49103333333335,278.53880000000004,0.6518000000000369,NaN
106,18,63,278.49103333333335,278.53880000000004,279.04060000000004,279.0407,0.5493999999999915,NaN
107,18,33,279.04080000000005,279.19470000000007,279.37320000000005,279.4945,0.3324000000000069,NaN
108,18,37,279.37320000000005,279.4945,279.80550000000005,281.8622,0.4322999999999979,279.80550000000005
109,19,16,283.63509999999997,283.97610000000003,284.6393,284.68559999999997,1.0042000000000255,NaN
110,19,61,284.6393,284.68559999999997,285.3791,285.61940000000004,0.7398000000000025,NaN
111,19,11,285.3791,285.61940000000004,287.2341333333334,287.5006333333334,1.85469999999998,NaN
112,19,11,287.2341333333334,287.5006333333334,288.1037333333333,288.6609333333334,0.8695999999999913,NaN
